Skills
 .NET  
 3D MAX  
 ABAP  
 ABINITIO  
 ACTIVE DIRECTORY  
 ACTIVEX  
 ADO  
 ADOBE ILLUSTRATOR  
 ADOBE PAGEMAKER  
 ADOBE PHOTOSHOP  
 AFFILIATE MARKETING  
 AIX  
 AJAX  
 ALE  
 ANDROID DEVELOPMENT  
 ANSYS  
 ANT  
 APACHE COMMONS  
 APACHE TOMCAT  
 APACHE WEB SERVER  
 ARCHICAD  
 AS 400  
 ASIC  
 ASP  
 ASP.NET  
 ASSEMBLY LANGUAGE  
 ATL  
 AUTO CAD  
 AUTOLISP  
 AUTOMATION TESTING  
 AUTOSYS  
 AWT  
 BAAN  
 BACK OFFICE  
 BACK OFFICE OPERATIONS  
 BACKEND  
 BASIC  
 BLACKBERRY  
 BLUETOOTH  
 BPCS  
 BPEL  
 BREW  
 BUSINESS OBJECTS  
 C  
 C#  
 C++  
 CAD/CAM  
 CALL CENTER  
 CALYPSO  
 CATIA  
 CCIE  
 CDMA  
 CHORDIANT  
 CICS  
 CISCO  
 CLDC  
 CLIPPER  
 COBOL  
 COGNOS  
 COLDFUSION  
 COM/COM+/DCOM  
 CORBA  
 COREJAVA  
 COREL DRAW  
 CRM  
 CRYSTAL REPORT  
 CSHARP  
 CSS  
 DATA ANALYSIS  
 DATA STRUCTURES  
 DATA WAREHOUSING  
 DATABASE  
 DATABASE ADMINISTRATION  
 DATASTAGE  
 DATAWAREHOUSING  
 DB2  
 DB4O  
 DBASE  
 DCA  
 DCOM  
 DELPHI  
 DERBY  
 DESIGNING  
 DEVELOPER/D2K  
 DHCP  
 DHTML  
 DIGITAL MARKETING  
 DISTRIBUTION  
 DNS  
 DOCUMENTATION  
 DOCUMENTUM  
 DOS  
 DOWNSTREAM  
 DREAMWEAVER  
 DSP  
 DTP  
 ECLIPSE  
 EDITING  
 EJB  
 EMBEDDED C  
 ERP  
 ETHERNET  
 EXCEL  
 EXPEDITOR  
 FACT  
 FILENET  
 FINACLE  
 FINONE  
 FIREWALL  
 FIREWORKS  
 FLASH  
 FLASHLITE  
 FLEX  
 FLEXCUBE  
 FOCUS  
 FORTRAN  
 FOXPRO  
 FPGA  
 FREEBSD  
 FTP  
 GLOSS  
 GSM  
 HIBERNATE  
 HP UNIX  
 HTML  
 HUMMING BIRD  
